ID,Transaction ID,Amount,Transaction Type,Transaction Date,User ID,User Email,User First Name,User Last Name
89,MWr9B38uMtcpPbfdfp4a4qTW358CPk5j,11616678.44,withdrawal,Wed Apr 24 2024 07:59:09 GMT+0100 (West Africa Standard Time),4,Octavia_Homenick17@hotmail.com,Alec,Weissnat
90,1XrekXHD6NyXoVW2wdj3zIqoQ_4xIReU,55790163.37,transfer,Sat Oct 07 2023 19:06:57 GMT+0100 (West Africa Standard Time),4,Octavia_Homenick17@hotmail.com,Alec,Weissnat
91,NUZcqvE9s-o8P28vmkCkGMzi58KW9T00,14351333.74,transfer,Tue Dec 05 2023 06:45:34 GMT+0100 (West Africa Standard Time),4,Octavia_Homenick17@hotmail.com,Alec,Weissnat
92,_xTgLzJgkScOXdZhHUEgrSoLYJWmofjj,11057369.55,withdrawal,Sun Jul 07 2024 04:44:27 GMT+0100 (West Africa Standard Time),4,Octavia_Homenick17@hotmail.com,Alec,Weissnat
93,KmnkctGhmf19WM69x0ly1XRndaLZud9_,69133794.96,transfer,Sat Mar 30 2024 09:38:57 GMT+0100 (West Africa Standard Time),4,Octavia_Homenick17@hotmail.com,Alec,Weissnat
94,Ox78F5r7NJp_kg3qyzPPa2i3JvV-kgAF,844876.74,deposit,Sun Sep 10 2023 10:10:10 GMT+0100 (West Africa Standard Time),4,Octavia_Homenick17@hotmail.com,Alec,Weissnat
95,p1bdUY_fEXyiwxFWLZSyyov1HJ5U8uAl,14819308.02,withdrawal,Mon Dec 11 2023 11:41:19 GMT+0100 (West Africa Standard Time),4,Octavia_Homenick17@hotmail.com,Alec,Weissnat
96,1WkTlHs99u94vg7srWEuRnl3oxxhuvxp,76214067.29,deposit,Mon May 27 2024 15:35:44 GMT+0100 (West Africa Standard Time),4,Octavia_Homenick17@hotmail.com,Alec,Weissnat
97,MBGU3inh_rEvQXaVxHxIU7CKAQNdUSRv,50398470.65,deposit,Mon May 27 2024 17:50:50 GMT+0100 (West Africa Standard Time),4,Octavia_Homenick17@hotmail.com,Alec,Weissnat
98,wg06qgJ2Ivbw3pZ8XvYL2-GWZpUQb7Ug,49433705.35,withdrawal,Thu Aug 01 2024 15:17:10 GMT+0100 (West Africa Standard Time),4,Octavia_Homenick17@hotmail.com,Alec,Weissnat
99,KTbQ6pb_cbiY7eOLVatEvKDG0mkahxfo,58011486.80,deposit,Thu Jan 11 2024 15:22:01 GMT+0100 (West Africa Standard Time),4,Octavia_Homenick17@hotmail.com,Alec,Weissnat
