ID,Transaction ID,Amount,Transaction Type,Transaction Date,User ID,User Email,User First Name,User Last Name
1,BBGo_A4K6Z2c7dKSNNZvAIlWcOngr6wl,92665239.40,deposit,Thu Feb 15 2024 23:37:13 GMT+0100 (West Africa Standard Time),1,Warren_Monahan53@hotmail.com,Evie,Hansen
2,SrSAyn9pAYd-Q5VfP3w0ZItA9Dt4G0LE,97473137.64,deposit,Sat Feb 10 2024 18:57:44 GMT+0100 (West Africa Standard Time),1,Warren_Monahan53@hotmail.com,Evie,Hansen
3,9iJWgTKclYj0S1miQmNMaH9PXCoH2-ij,35183159.61,withdrawal,Mon Jun 03 2024 02:58:18 GMT+0100 (West Africa Standard Time),1,Warren_Monahan53@hotmail.com,Evie,Hansen
4,49XAkRFP0qAE5V8NwHuf38MBptbrVfz2,13048202.14,withdrawal,Fri Mar 29 2024 16:43:05 GMT+0100 (West Africa Standard Time),1,Warren_Monahan53@hotmail.com,Evie,Hansen
5,xu7ty4dIJ-PX3_OBmvP68kwn6OsaEYxr,57302464.50,deposit,Wed Aug 07 2024 15:18:28 GMT+0100 (West Africa Standard Time),1,Warren_Monahan53@hotmail.com,Evie,Hansen
6,sv1e8OYM9XFvBkrTogyhjFwZ-bXJx0Dp,18282541.61,deposit,Sat Dec 09 2023 02:33:13 GMT+0100 (West Africa Standard Time),1,Warren_Monahan53@hotmail.com,Evie,Hansen
7,3OEY_H4tMsF0LY8OvyxL65Vsr_xDRNEF,75395775.80,withdrawal,Sun Nov 26 2023 00:17:26 GMT+0100 (West Africa Standard Time),1,Warren_Monahan53@hotmail.com,Evie,Hansen
8,0P6G_dXNnSSrgen87uwcP8y1uScSyHwe,20571048.53,withdrawal,Tue Jun 25 2024 06:20:43 GMT+0100 (West Africa Standard Time),1,Warren_Monahan53@hotmail.com,Evie,Hansen
9,NSx1d-VaDsaBKwgZbUDjAxYruEE5UP0z,11512270.64,transfer,Tue Apr 23 2024 12:47:52 GMT+0100 (West Africa Standard Time),1,Warren_Monahan53@hotmail.com,Evie,Hansen
10,e_ZWR-LNZlCfYOFPYwT_ghOdAXl88_dW,93182428.81,transfer,Sun Feb 25 2024 01:51:28 GMT+0100 (West Africa Standard Time),1,Warren_Monahan53@hotmail.com,Evie,Hansen
11,77bFgHEc-k5f6yv1KHpn5iZUB1gISojp,24219812.40,transfer,Fri Feb 09 2024 16:22:52 GMT+0100 (West Africa Standard Time),1,Warren_Monahan53@hotmail.com,Evie,Hansen
12,3XpioKMHW1DGEYZ2OcoGzC8wqBAr7_HO,43117598.47,transfer,Thu Jun 20 2024 10:56:34 GMT+0100 (West Africa Standard Time),1,Warren_Monahan53@hotmail.com,Evie,Hansen
13,VAa7EWImnFQf9rcElEPbz74ZuBPy8vZL,18985304.16,withdrawal,Thu Mar 14 2024 03:20:10 GMT+0100 (West Africa Standard Time),1,Warren_Monahan53@hotmail.com,Evie,Hansen
14,WwYQa1wBjgekaJJRQJDg2Kr0nuh1SShy,3083681.40,transfer,Sun Jun 16 2024 21:29:52 GMT+0100 (West Africa Standard Time),1,Warren_Monahan53@hotmail.com,Evie,Hansen
15,C7dxtXQthvPEryqPyT2Y_tJHlX7SJohe,24317356.71,transfer,Sun Apr 28 2024 14:02:04 GMT+0100 (West Africa Standard Time),9,Shawn.Bins56@yahoo.com,Muriel,Jones
